instruction,input,output,text
공가에 대해 알려줘,,"병역법이나 그 밖의 다른 법령에 따른 국가기관에 소환될 때나 투표, 헌혈, 건강검진을 받을 때 등에 신청 가능합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
공가에 대해 알려줘
### Response:
병역법이나 그 밖의 다른 법령에 따른 국가기관에 소환될 때나 투표, 헌혈, 건강검진을 받을 때 등에 신청 가능합니다."
출산휴가에 대해 알려줘,,"출산 전과 출산 후를 통하여 90일의 출산휴가를 승인해야 하며, 출산 후의 휴가기간이 45일 이상이 되게 합니다","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
출산휴가에 대해 알려줘
### Response:
출산 전과 출산 후를 통하여 90일의 출산휴가를 승인해야 하며, 출산 후의 휴가기간이 45일 이상이 되게 합니다"
직장 예절에 대해 알려줘,,"인사는 자신의 인격과 교양을 밖으로 나타내는 수단입니다. 내가 먼저 인사하고 / 마주칠 때마다 인사하고 / 일어서서 인사하고 상대방이 못 보거나 받지 않아도 인사하고 / 즉시 인사합니다. 또한 두발, 손톱, 수염, 양말, 헤어스타일에 세심한 관심을 갖습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
직장 예절에 대해 알려줘
### Response:
인사는 자신의 인격과 교양을 밖으로 나타내는 수단입니다. 내가 먼저 인사하고 / 마주칠 때마다 인사하고 / 일어서서 인사하고 상대방이 못 보거나 받지 않아도 인사하고 / 즉시 인사합니다. 또한 두발, 손톱, 수염, 양말, 헤어스타일에 세심한 관심을 갖습니다."
징계에 대해 알려줘,,부여된 의무를 공공이익과 복리증진에 기여하도록 적극_타당하게 수행하지 않은 경우와 당연히 해야 할 직무를 성실하게 수행하지 않은 경우에 징계를 받을 수 있습니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
징계에 대해 알려줘
### Response:
부여된 의무를 공공이익과 복리증진에 기여하도록 적극_타당하게 수행하지 않은 경우와 당연히 해야 할 직무를 성실하게 수행하지 않은 경우에 징계를 받을 수 있습니다."
청탁금지법에 대해 알려줘,,"공직자 등에 대한 부정청탁 및 금품 등의 수수 금지를 명시한 법입니다. 여기서 공직자는 국가공무원, 지방공무원, 다른 법률에 따라 공무원으로 인정된 사람입니다. 동일인으로부터 1회 100만원 또는 매 회계연도 300만원을 초과하는 금품등을 받 거나 요구 약속해서는 안됩니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
청탁금지법에 대해 알려줘
### Response:
공직자 등에 대한 부정청탁 및 금품 등의 수수 금지를 명시한 법입니다. 여기서 공직자는 국가공무원, 지방공무원, 다른 법률에 따라 공무원으로 인정된 사람입니다. 동일인으로부터 1회 100만원 또는 매 회계연도 300만원을 초과하는 금품등을 받 거나 요구 약속해서는 안됩니다."
당직을 알려줘,,"당직은 휴일 또는 근무시간 외의 화재, 도난 또는 그 밖의 사고의 경계와 문서처리 및 업무연락을 하기 위해 당번을 정하여 하는 근무입니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
당직을 알려줘
### Response:
당직은 휴일 또는 근무시간 외의 화재, 도난 또는 그 밖의 사고의 경계와 문서처리 및 업무연락을 하기 위해 당번을 정하여 하는 근무입니다."
공직자가 가져야 할 자세를 알려줘,,"주민 전체의 봉사자로서 직무를 민주적이고 능률적으로 수행하기 위하여 창의와 성실로서 맡은 바 책임을 완수하여야 합니다. 또한 비밀을 엄수하고, 매사 친절하고 공정하며 근검해야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
공직자가 가져야 할 자세를 알려줘
### Response:
주민 전체의 봉사자로서 직무를 민주적이고 능률적으로 수행하기 위하여 창의와 성실로서 맡은 바 책임을 완수하여야 합니다. 또한 비밀을 엄수하고, 매사 친절하고 공정하며 근검해야 합니다."
당직신고를 하는 방법을 알려줘,,"당직근무자는 당직근무 시작시간 30분 전에 당직명령자에게 당직신고를 해야 합니다. 다만 토요일, 공휴일의 당직근무자는 그 직전 정상근무일 당직신고를 해야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
당직신고를 하는 방법을 알려줘
### Response:
당직근무자는 당직근무 시작시간 30분 전에 당직명령자에게 당직신고를 해야 합니다. 다만 토요일, 공휴일의 당직근무자는 그 직전 정상근무일 당직신고를 해야 합니다."
공직자의 바람직한 태도를 알려줘,,만약 전화가 온다면 공손히 직장과 이름을 먼저 밝히고 받습니다.  또한 민원은 신속하고 공정하게 처리하며 찾아오는 주민은 우선적으로 맞이합니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
공직자의 바람직한 태도를 알려줘
### Response:
만약 전화가 온다면 공손히 직장과 이름을 먼저 밝히고 받습니다.  또한 민원은 신속하고 공정하게 처리하며 찾아오는 주민은 우선적으로 맞이합니다."
당직이 해야 할 일을 알려줘,,"청사 내외의 보안상태 점검, 문서의 수발 및 인계 관리, 국기 게양 및 관리상태 점검, 비상근무 발생시 소집 등의 조치가 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
당직이 해야 할 일을 알려줘
### Response:
청사 내외의 보안상태 점검, 문서의 수발 및 인계 관리, 국기 게양 및 관리상태 점검, 비상근무 발생시 소집 등의 조치가 있습니다."
근무시간을 알려줘,,"근무는 월요일~금요일이며 1주에 40시간을, 토요일은 휴무함이 원칙입니다. 1일의 근무시간은 9~18시이며 점심시간은 12~13시, 근무시간에 포함되지 않습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
근무시간을 알려줘
### Response:
근무는 월요일~금요일이며 1주에 40시간을, 토요일은 휴무함이 원칙입니다. 1일의 근무시간은 9~18시이며 점심시간은 12~13시, 근무시간에 포함되지 않습니다."
보안 관리를 알려줘,,"업무관련 서류 방치, 서랍 등 시건 장치 확인, 책상위에 공문서, 개인정보 포함된 서류, USB 등 개인 소지품 방치행위 등을 점검합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
보안 관리를 알려줘
### Response:
업무관련 서류 방치, 서랍 등 시건 장치 확인, 책상위에 공문서, 개인정보 포함된 서류, USB 등 개인 소지품 방치행위 등을 점검합니다."
출장을 알려줘,,"근무지내 출장은 출장거리가 12km 미만, 넘더라도 동일한 시 또는 군 안에서의 출장을 뜻합니다. 그리고 근무지외 출장은 출장거리 12km 이상인 출장을 뜻합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
출장을 알려줘
### Response:
근무지내 출장은 출장거리가 12km 미만, 넘더라도 동일한 시 또는 군 안에서의 출장을 뜻합니다. 그리고 근무지외 출장은 출장거리 12km 이상인 출장을 뜻합니다."
휴가를 알려줘,,"연가: 정신적·신체적 휴식을 취함으로써 근무능률을 유지하고 개인생활의 편의를 위하여 사용하는 휴가, 병가: 질병 또는 부상으로 직무를 수행할 수 없는 경우 또는 감염병에 걸려 다른 공무원의 건강에 영향을 미칠 우려가 있을 때 부여받는 휴가, 공가: 공무원이 일반국민의 자격으로 국가기관의 업무수행에 협조하거나 법령상 의무의 이행이 필요한 경우에 부여받는 휴가입니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
휴가를 알려줘
### Response:
연가: 정신적·신체적 휴식을 취함으로써 근무능률을 유지하고 개인생활의 편의를 위하여 사용하는 휴가, 병가: 질병 또는 부상으로 직무를 수행할 수 없는 경우 또는 감염병에 걸려 다른 공무원의 건강에 영향을 미칠 우려가 있을 때 부여받는 휴가, 공가: 공무원이 일반국민의 자격으로 국가기관의 업무수행에 협조하거나 법령상 의무의 이행이 필요한 경우에 부여받는 휴가입니다."
병가를 알려줘,,"일반병가는 연간 60일, 공무상 병가는 연간 180일이 가능합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
병가를 알려줘
### Response:
일반병가는 연간 60일, 공무상 병가는 연간 180일이 가능합니다."
공가를 알려줘,,"병역법이나 그 밖의 다른 법령에 따른 국가기관에 소환될 때나 투표, 헌혈, 건강검진을 받을 때 등에 신청 가능합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
공가를 알려줘
### Response:
병역법이나 그 밖의 다른 법령에 따른 국가기관에 소환될 때나 투표, 헌혈, 건강검진을 받을 때 등에 신청 가능합니다."
출산휴가를 알려줘,,"출산 전과 출산 후를 통하여 90일의 출산휴가를 승인해야 하며, 출산 후의 휴가기간이 45일 이상이 되게 합니다","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
출산휴가를 알려줘
### Response:
출산 전과 출산 후를 통하여 90일의 출산휴가를 승인해야 하며, 출산 후의 휴가기간이 45일 이상이 되게 합니다"
직장 예절을 알려줘,,"인사는 자신의 인격과 교양을 밖으로 나타내는 수단입니다. 내가 먼저 인사하고 / 마주칠 때마다 인사하고 / 일어서서 인사하고 상대방이 못 보거나 받지 않아도 인사하고 / 즉시 인사합니다. 또한 두발, 손톱, 수염, 양말, 헤어스타일에 세심한 관심을 갖습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
직장 예절을 알려줘
### Response:
인사는 자신의 인격과 교양을 밖으로 나타내는 수단입니다. 내가 먼저 인사하고 / 마주칠 때마다 인사하고 / 일어서서 인사하고 상대방이 못 보거나 받지 않아도 인사하고 / 즉시 인사합니다. 또한 두발, 손톱, 수염, 양말, 헤어스타일에 세심한 관심을 갖습니다."
징계를 알려줘,,부여된 의무를 공공이익과 복리증진에 기여하도록 적극_타당하게 수행하지 않은 경우와 당연히 해야 할 직무를 성실하게 수행하지 않은 경우에 징계를 받을 수 있습니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
징계를 알려줘
### Response:
부여된 의무를 공공이익과 복리증진에 기여하도록 적극_타당하게 수행하지 않은 경우와 당연히 해야 할 직무를 성실하게 수행하지 않은 경우에 징계를 받을 수 있습니다."
청탁금지법을 알려줘,,"공직자 등에 대한 부정청탁 및 금품 등의 수수 금지를 명시한 법입니다. 여기서 공직자는 국가공무원, 지방공무원, 다른 법률에 따라 공무원으로 인정된 사람입니다. 동일인으로부터 1회 100만원 또는 매 회계연도 300만원을 초과하는 금품등을 받 거나 요구 약속해서는 안됩니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
청탁금지법을 알려줘
### Response:
공직자 등에 대한 부정청탁 및 금품 등의 수수 금지를 명시한 법입니다. 여기서 공직자는 국가공무원, 지방공무원, 다른 법률에 따라 공무원으로 인정된 사람입니다. 동일인으로부터 1회 100만원 또는 매 회계연도 300만원을 초과하는 금품등을 받 거나 요구 약속해서는 안됩니다."
회계실무의 유의사항을 알려줘,,"품의 적요 입력: ○○○ 보조금 지급 / ○○○ 물품 구입 / ○○○ 설계 용역 / ○○○ 공사 로 하고 지출시 금액의 끝자리는 무조건 '0'으로 절사합니다. 예) 125,595 -> 125,590","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
회계실무의 유의사항을 알려줘
### Response:
품의 적요 입력: ○○○ 보조금 지급 / ○○○ 물품 구입 / ○○○ 설계 용역 / ○○○ 공사 로 하고 지출시 금액의 끝자리는 무조건 '0'으로 절사합니다. 예) 125,595 -> 125,590"
회계부서 결재선 설정을 알려줘,,"지급결의(내부결재)시 반드시 e-호조를 연계하며, 과장 최종 결제: 주무관->○○팀장->경리팀장(협)->회계과장(협)->○○과장 순서로 진행됩니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
회계부서 결재선 설정을 알려줘
### Response:
지급결의(내부결재)시 반드시 e-호조를 연계하며, 과장 최종 결제: 주무관->○○팀장->경리팀장(협)->회계과장(협)->○○과장 순서로 진행됩니다."
계약 체결시 관련서류를 알려줘,,"필수적인 서류로는 견적서, 사업자등록증, 관련 자격면허(해당시), 통장사본 등이 있습니다. 여기서 업체가 법인일 경우는 법인등기부등본, 법인인감증명서(사용인감증명서)를 추가합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
계약 체결시 관련서류를 알려줘
### Response:
필수적인 서류로는 견적서, 사업자등록증, 관련 자격면허(해당시), 통장사본 등이 있습니다. 여기서 업체가 법인일 경우는 법인등기부등본, 법인인감증명서(사용인감증명서)를 추가합니다."
사업담당자도 결재경로를 등록해야 하는지 알려줘,,"일반/일상경비 지출에서는 원인행위요청자, 지급명령등록자만 결재경로를 등록하면 됩니다. 사업담당자가 처리하는 지출품의와 지출결의는 1인결재로 처리됩니다. 반납결의요청, 과목결정결의요청, 일상경비교부금반납 절차에 전자결재가 추가로 적용되었으며, 사업담당자도 결재요청하여 부서팀장에게 결재를 받아야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
사업담당자도 결재경로를 등록해야 하는지 알려줘
### Response:
일반/일상경비 지출에서는 원인행위요청자, 지급명령등록자만 결재경로를 등록하면 됩니다. 사업담당자가 처리하는 지출품의와 지출결의는 1인결재로 처리됩니다. 반납결의요청, 과목결정결의요청, 일상경비교부금반납 절차에 전자결재가 추가로 적용되었으며, 사업담당자도 결재요청하여 부서팀장에게 결재를 받아야 합니다."
보조금 지급을 알려줘,,"맡은 업무 종류나 양에 따라 달라질 수 있습니다. 구분은 선지급, 매월, 후지급으로 나뉘며 지급결의 내용은 예산액, 교부결정액, 금회지급액, 잔액 등이 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
보조금 지급을 알려줘
### Response:
맡은 업무 종류나 양에 따라 달라질 수 있습니다. 구분은 선지급, 매월, 후지급으로 나뉘며 지급결의 내용은 예산액, 교부결정액, 금회지급액, 잔액 등이 있습니다."
회계실무의 유의사항에 대해 알려줘,,"품의 적요 입력: ○○○ 보조금 지급 / ○○○ 물품 구입 / ○○○ 설계 용역 / ○○○ 공사 로 하고 지출시 금액의 끝자리는 무조건 '0'으로 절사합니다. 예) 125,595 -> 125,590","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
회계실무의 유의사항에 대해 알려줘
### Response:
품의 적요 입력: ○○○ 보조금 지급 / ○○○ 물품 구입 / ○○○ 설계 용역 / ○○○ 공사 로 하고 지출시 금액의 끝자리는 무조건 '0'으로 절사합니다. 예) 125,595 -> 125,590"
회계부서 결재선 설정에 대해 알려줘,,"지급결의(내부결재)시 반드시 e-호조를 연계하며, 과장 최종 결제: 주무관->○○팀장->경리팀장(협)->회계과장(협)->○○과장 순서로 진행됩니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
회계부서 결재선 설정에 대해 알려줘
### Response:
지급결의(내부결재)시 반드시 e-호조를 연계하며, 과장 최종 결제: 주무관->○○팀장->경리팀장(협)->회계과장(협)->○○과장 순서로 진행됩니다."
계약 체결시 관련서류에 대해 알려줘,,"필수적인 서류로는 견적서, 사업자등록증, 관련 자격면허(해당시), 통장사본 등이 있습니다. 여기서 업체가 법인일 경우는 법인등기부등본, 법인인감증명서(사용인감증명서)를 추가합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
계약 체결시 관련서류에 대해 알려줘
### Response:
필수적인 서류로는 견적서, 사업자등록증, 관련 자격면허(해당시), 통장사본 등이 있습니다. 여기서 업체가 법인일 경우는 법인등기부등본, 법인인감증명서(사용인감증명서)를 추가합니다."
사업담당자도 결재경로를 등록해야 하는지에 대해 알려줘,,"일반/일상경비 지출에서는 원인행위요청자, 지급명령등록자만 결재경로를 등록하면 됩니다. 사업담당자가 처리하는 지출품의와 지출결의는 1인결재로 처리됩니다. 반납결의요청, 과목결정결의요청, 일상경비교부금반납 절차에 전자결재가 추가로 적용되었으며, 사업담당자도 결재요청하여 부서팀장에게 결재를 받아야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
사업담당자도 결재경로를 등록해야 하는지에 대해 알려줘
### Response:
일반/일상경비 지출에서는 원인행위요청자, 지급명령등록자만 결재경로를 등록하면 됩니다. 사업담당자가 처리하는 지출품의와 지출결의는 1인결재로 처리됩니다. 반납결의요청, 과목결정결의요청, 일상경비교부금반납 절차에 전자결재가 추가로 적용되었으며, 사업담당자도 결재요청하여 부서팀장에게 결재를 받아야 합니다."
보조금 지급에 대해 알려줘,,"맡은 업무 종류나 양에 따라 달라질 수 있습니다. 구분은 선지급, 매월, 후지급으로 나뉘며 지급결의 내용은 예산액, 교부결정액, 금회지급액, 잔액 등이 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
보조금 지급에 대해 알려줘
### Response:
맡은 업무 종류나 양에 따라 달라질 수 있습니다. 구분은 선지급, 매월, 후지급으로 나뉘며 지급결의 내용은 예산액, 교부결정액, 금회지급액, 잔액 등이 있습니다."
공문서 작성 원칙을 알려줘,,"공문서의 내용을 둘 이상의 항목으로 구분할 필요가 있으면 그 항목을 순서대로 표시하되, 상위 항목부터 하위 항목까지 1., 가., 1),가), (1), (가), l, 가의 형태로 표시합니다. 문서에 금액을 표시할 때에는 「행정 효율과 협업 촉진에 관한 규정」 제7조제4항에 따라 아라비아 숫자로 쓰되, 숫자 다음에 괄호를 하고 다음과 같이 한글로 적어야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
공문서 작성 원칙을 알려줘
### Response:
공문서의 내용을 둘 이상의 항목으로 구분할 필요가 있으면 그 항목을 순서대로 표시하되, 상위 항목부터 하위 항목까지 1., 가., 1),가), (1), (가), l, 가의 형태로 표시합니다. 문서에 금액을 표시할 때에는 「행정 효율과 협업 촉진에 관한 규정」 제7조제4항에 따라 아라비아 숫자로 쓰되, 숫자 다음에 괄호를 하고 다음과 같이 한글로 적어야 합니다."
외래어 표기법을 알려줘,,"예시) solution: 설루션, leaflet: 리플릿, workshop: 워크숍, pamplet: 팸플릿, agenda: 어젠다, concept: 콘셉트","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
외래어 표기법을 알려줘
### Response:
예시) solution: 설루션, leaflet: 리플릿, workshop: 워크숍, pamplet: 팸플릿, agenda: 어젠다, concept: 콘셉트"
공문서 작성 원칙에 대해 알려줘,,"공문서의 내용을 둘 이상의 항목으로 구분할 필요가 있으면 그 항목을 순서대로 표시하되, 상위 항목부터 하위 항목까지 1., 가., 1),가), (1), (가), l, 가의 형태로 표시합니다. 문서에 금액을 표시할 때에는 「행정 효율과 협업 촉진에 관한 규정」 제7조제4항에 따라 아라비아 숫자로 쓰되, 숫자 다음에 괄호를 하고 다음과 같이 한글로 적어야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
공문서 작성 원칙에 대해 알려줘
### Response:
공문서의 내용을 둘 이상의 항목으로 구분할 필요가 있으면 그 항목을 순서대로 표시하되, 상위 항목부터 하위 항목까지 1., 가., 1),가), (1), (가), l, 가의 형태로 표시합니다. 문서에 금액을 표시할 때에는 「행정 효율과 협업 촉진에 관한 규정」 제7조제4항에 따라 아라비아 숫자로 쓰되, 숫자 다음에 괄호를 하고 다음과 같이 한글로 적어야 합니다."
외래어 표기법에 대해 알려줘,,"예시) solution: 설루션, leaflet: 리플릿, workshop: 워크숍, pamplet: 팸플릿, agenda: 어젠다, concept: 콘셉트","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
외래어 표기법에 대해 알려줘
### Response:
예시) solution: 설루션, leaflet: 리플릿, workshop: 워크숍, pamplet: 팸플릿, agenda: 어젠다, concept: 콘셉트"
인감증명서를 본인이 발급 시 어떤 절차가 필요한가요?,,"본인이 발급하는 경우:
본인의 신분증을 제시합니다.
주민번호를 입력합니다.
지문 확인을 거칩니다.
본인 확인 후, 본인 신분증을 조회합니다.
매도용 또는 매수자용 여부를 확인하고, 인적사항을 입력합니다.
발급할 증명서의 유형과 수량을 확인한 후, 출력합니다.
매도용 경우, 매수인의 인적사항을 정확히 입력하고 주소를 확인합니다.
발급 대장에 서명하고, 인감도장을 찍힌 부분에 보호라벨을 부착합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
인감증명서를 본인이 발급 시 어떤 절차가 필요한가요?
### Response:
본인이 발급하는 경우:
본인의 신분증을 제시합니다.
주민번호를 입력합니다.
지문 확인을 거칩니다.
본인 확인 후, 본인 신분증을 조회합니다.
매도용 또는 매수자용 여부를 확인하고, 인적사항을 입력합니다.
발급할 증명서의 유형과 수량을 확인한 후, 출력합니다.
매도용 경우, 매수인의 인적사항을 정확히 입력하고 주소를 확인합니다.
발급 대장에 서명하고, 인감도장을 찍힌 부분에 보호라벨을 부착합니다."
